rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
1,0,1,KOR/KOR,LEE Yong Dae,LEE Hyo Jung,52774,12193,77086,14,https://bwf.tournamentsoftware.com/player-profile/8EBDD2CA-03F6-4431-A558-F4EAB6B8B2E1,https://bwf.tournamentsoftware.com/player-profile/6AB876EF-63DA-4E97-A276-321EBA796ABE
2,0,2,INA/INA,Nova WIDIANTO,Liliyana NATSIR,7934,14727,72059,12,https://bwf.tournamentsoftware.com/player-profile/95DFA507-FF47-4463-9BA0-D80C2CF7E68F,https://bwf.tournamentsoftware.com/player-profile/A7355D9C-1D9A-4300-A939-BE6D9DD4F00A
3,0,3,CHN/CHN,ZHENG Bo,MA Jin,51282,95281,68750,10,https://bwf.tournamentsoftware.com/player-profile/A489777A-1AAB-4494-BDAA-6682EFE2F509,https://bwf.tournamentsoftware.com/player-profile/FCF2D049-4CF1-4917-B562-B42D9BFE8590
4,0,4,DEN/DEN,Joachim FISCHER NIELSEN,Christinna PEDERSEN,10513,53759,58431,10,https://bwf.tournamentsoftware.com/player-profile/172BA76B-8D40-4849-A75A-3F0CDD5DD59E,https://bwf.tournamentsoftware.com/player-profile/85081060-9A74-4413-9FF1-C180EF881904
5,0,5,CHN/CHN,HE Hanbin,YU Yang (F),53940,51667,55209,9,https://bwf.tournamentsoftware.com/player-profile/B0E69779-5C3E-4B45-80B5-6EAFF77E289C,https://bwf.tournamentsoftware.com/player-profile/740D0C46-DB36-4F42-BB3C-0E0C592CE7B7
6,0,6,INA/INA,Hendra Aprida GUNAWAN,Vita MARISSA,11401,10360,51290,10,https://bwf.tournamentsoftware.com/player-profile/746E3179-22D2-48F8-82A4-BCA9E472A954,https://bwf.tournamentsoftware.com/player-profile/5B22630F-99BD-423D-BA6F-CE50F4090D9F
7,0,7,IND/IND,V. Diju,Jwala GUTTA,51369,50884,49957,17,https://bwf.tournamentsoftware.com/player-profile/E5707F71-3670-4B66-8970-5EC4D03E091C,https://bwf.tournamentsoftware.com/player-profile/D28DF6CB-3B5B-42DB-8347-5519A0117429
8,0,8,THA/THA,Songphon ANUGRITAYAWON,Kunchala VORAVICHITCHAIKUL,50736,50739,48380,12,https://bwf.tournamentsoftware.com/player-profile/BC12E64C-FF82-4999-8647-7F5E29BCC7D2,https://bwf.tournamentsoftware.com/player-profile/81E13955-924F-4604-84D4-2C433BDF4C24
9,0,9,POL/POL,Robert MATEUSIAK,Nadiezda ZIEBA,4253,50054,45918,10,https://bwf.tournamentsoftware.com/player-profile/1592B412-2F56-4D28-9166-AB22BAE6C03A,https://bwf.tournamentsoftware.com/player-profile/7D6B3C4E-7717-4E42-A5B7-C9B65B111224
10,0,10,THA/THA,Sudket PRAPAKAMOL,Saralee THOUNGTHONGKAM,10650,7065,44317,11,https://bwf.tournamentsoftware.com/player-profile/CB2D7136-5DD5-4C80-87FE-3F7BD96DA619,https://bwf.tournamentsoftware.com/player-profile/4830B811-EC02-4B57-AC7F-1FD3AA53108E
11,0,11,HKG/HKG,WIRATAMA Yohan Hadikusumo,CHAU Hoi Wah,7944,55285,43380,14,https://bwf.tournamentsoftware.com/player-profile/2511182B-CDA9-48E8-B42C-B6473D72D27B,https://bwf.tournamentsoftware.com/player-profile/EEE177C5-DFBE-4DDC-8069-86831DD8E289
12,0,12,DEN/DEN,Thomas LAYBOURN,Kamilla Rytter JUHL,11935,51436,41411,8,https://bwf.tournamentsoftware.com/player-profile/131762C7-75CD-423D-A833-4C3A4EAF8DAD,https://bwf.tournamentsoftware.com/player-profile/20637175-FA61-41DB-9DA9-2A9127D65E2E
13,0,13,INA/INA,Devin Lahardi FITRIAWAN,Lita NURLITA,51095,50463,40511,11,https://bwf.tournamentsoftware.com/player-profile/22F7AD64-BBF5-4DD2-8E5A-134D0A690ADF,https://bwf.tournamentsoftware.com/player-profile/CDFD4067-D36A-4D9C-A2C1-77AF2C7E55EB
14,0,14,KOR/KOR,KO Sung Hyun,HA Jung Eun,88094,15412,39770,13,https://bwf.tournamentsoftware.com/player-profile/21922655-3624-4FDE-B43D-12DF437B0B71,https://bwf.tournamentsoftware.com/player-profile/8C2E8CD1-01C5-4CDA-9D3A-5F2846F477B1
15,0,15,ENG/ENG,Anthony CLARK,Donna KELLOGG,9819,9646,39316,10,https://bwf.tournamentsoftware.com/player-profile/A42492B5-4119-40D2-B59C-6198DC5EFBFB,https://bwf.tournamentsoftware.com/player-profile/D680F137-4954-4E89-B3EC-77B25C2B2B35
