rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
1,0,1,CHN/CHN,ZHANG Nan,ZHAO Yunlei,35357,54522,85990,13,https://bwf.tournamentsoftware.com/player-profile/61649DF4-7F24-42D0-854D-1332B21E4A9D,https://bwf.tournamentsoftware.com/player-profile/11E5143C-EEB1-456F-BECB-04E324DD3B04
2,0,2,CHN/CHN,XU Chen,MA Jin,51620,95281,84720,14,https://bwf.tournamentsoftware.com/player-profile/6D0E15C6-3488-48CD-B04A-5FFBCB2EF912,https://bwf.tournamentsoftware.com/player-profile/FCF2D049-4CF1-4917-B562-B42D9BFE8590
3,0,3,DEN/DEN,Joachim FISCHER NIELSEN,Christinna PEDERSEN,10513,53759,79620,13,https://bwf.tournamentsoftware.com/player-profile/172BA76B-8D40-4849-A75A-3F0CDD5DD59E,https://bwf.tournamentsoftware.com/player-profile/85081060-9A74-4413-9FF1-C180EF881904
4,0,4,INA/INA,Tontowi AHMAD,Liliyana NATSIR,54267,14727,76890,16,https://bwf.tournamentsoftware.com/player-profile/50850611-F9A4-4B8D-BAAD-756309EC2BFD,https://bwf.tournamentsoftware.com/player-profile/A7355D9C-1D9A-4300-A939-BE6D9DD4F00A
5,0,5,TPE/TPE,CHEN Hung Ling,CHENG Wen Hsing,53613,10947,65830,21,https://bwf.tournamentsoftware.com/player-profile/9621265B-FAA8-4DDA-9744-0FF29AB75436,https://bwf.tournamentsoftware.com/player-profile/0EC45A3B-10AA-4FBA-B9AB-4D374036EC92
6,0,6,THA/THA,Sudket PRAPAKAMOL,Saralee THOUNGTHONGKAM,10650,7065,61110,19,https://bwf.tournamentsoftware.com/player-profile/CB2D7136-5DD5-4C80-87FE-3F7BD96DA619,https://bwf.tournamentsoftware.com/player-profile/4830B811-EC02-4B57-AC7F-1FD3AA53108E
7,0,7,MAS/MAS,CHAN Peng Soon,GOH Liu Ying,53142,53159,60700,19,https://bwf.tournamentsoftware.com/player-profile/3E1CDEED-38B5-482D-8A60-5C07E4F39549,https://bwf.tournamentsoftware.com/player-profile/B75C85D0-4075-4638-8EA2-00DCFDD92F13
8,0,8,DEN/DEN,Thomas LAYBOURN,Kamilla Rytter JUHL,11935,51436,58790,14,https://bwf.tournamentsoftware.com/player-profile/131762C7-75CD-423D-A833-4C3A4EAF8DAD,https://bwf.tournamentsoftware.com/player-profile/20637175-FA61-41DB-9DA9-2A9127D65E2E
9,0,9,KOR/KOR,LEE Yong Dae,HA Jung Eun,52774,15412,54260,13,https://bwf.tournamentsoftware.com/player-profile/8EBDD2CA-03F6-4431-A558-F4EAB6B8B2E1,https://bwf.tournamentsoftware.com/player-profile/8C2E8CD1-01C5-4CDA-9D3A-5F2846F477B1
10,1,11,ENG/SCO,Chris ADCOCK,Imogen BANKIER,70333,51953,51180,18,https://bwf.tournamentsoftware.com/player-profile/42DF1168-BE4D-4D31-9F59-ED5B801DCD83,https://bwf.tournamentsoftware.com/player-profile/BC3088B7-E39F-4B1A-8FFE-60CEA982D5FB
11,-1,10,JPN/JPN,Shintaro IKEDA,Reiko SHIOTA,52261,51223,50780,17,https://bwf.tournamentsoftware.com/player-profile/C6F04DFB-D810-4564-890A-C835A8343B4F,https://bwf.tournamentsoftware.com/player-profile/2839D8E5-8712-40BF-81EF-87D8BD057351
12,0,12,CHN/CHN,HE Hanbin,BAO Yixin,53940,80939,49270,16,https://bwf.tournamentsoftware.com/player-profile/B0E69779-5C3E-4B45-80B5-6EAFF77E289C,https://bwf.tournamentsoftware.com/player-profile/AF4A3946-DA47-4488-AD5A-2D1D1C42D5E3
13,0,13,IND/IND,V. Diju,Jwala GUTTA,51369,50884,49100,18,https://bwf.tournamentsoftware.com/player-profile/E5707F71-3670-4B66-8970-5EC4D03E091C,https://bwf.tournamentsoftware.com/player-profile/D28DF6CB-3B5B-42DB-8347-5519A0117429
14,0,14,KOR/KOR,KO Sung Hyun,EOM Hye Won,88094,28492,48400,16,https://bwf.tournamentsoftware.com/player-profile/21922655-3624-4FDE-B43D-12DF437B0B71,https://bwf.tournamentsoftware.com/player-profile/F3C73211-D0AC-4C5E-9B82-14DE64223305
15,1,16,RUS/RUS,Alexandr NIKOLAENKO,Valeria SOROKINA,10484,46862,46730,16,https://bwf.tournamentsoftware.com/player-profile/B95C6B64-E29E-4936-BA65-A6A07DDFC7EE,https://bwf.tournamentsoftware.com/player-profile/1BFBFBAE-BE0C-4929-9F95-F2C729079BB9
16,1,17,KOR/KOR,YOO Yeon Seong,CHANG Ye Na,52273,54361,44880,14,https://bwf.tournamentsoftware.com/player-profile/ADFC60B0-2055-48B3-9309-44D3C819B3FF,https://bwf.tournamentsoftware.com/player-profile/D932CDC1-56DF-4C0F-986A-F48051735267
17,-2,15,JPN/JPN,Shoji SATO,Shizuka MATSUO,50658,55111,44780,18,https://bwf.tournamentsoftware.com/player-profile/3AC7EF4D-77D0-4338-8283-5F7D16B81AD9,https://bwf.tournamentsoftware.com/player-profile/E1558AD0-9C69-4D90-B76F-5EFA4FA9BEF1
18,0,18,THA/THA,Maneepong JONGJIT,Savitree AMITRAPAI,67172,53582,42580,18,https://bwf.tournamentsoftware.com/player-profile/D3B03D47-8BCF-472E-ACAE-FC6C9C123506,https://bwf.tournamentsoftware.com/player-profile/1532AAFB-A4B6-43D8-90E1-42F11466E683
19,0,19,GER/GER,Michael FUCHS,Birgit OVERZIER,51263,50851,42000,19,https://bwf.tournamentsoftware.com/player-profile/EABB9948-EB15-4FE7-91A5-90119002E82F,https://bwf.tournamentsoftware.com/player-profile/79229D5E-2208-48D8-99D8-34F1982C5D0D
20,0,20,INA/INA,Muhammad RIJAL,Debby SUSANTO,14722,4425,41810,19,https://bwf.tournamentsoftware.com/player-profile/0664919D-B4D6-46FE-A802-10A7F99D7A56,https://bwf.tournamentsoftware.com/player-profile/78D3A053-BC8C-470F-B00D-AB6CD2E96839
21,1,22,POL/POL,Robert MATEUSIAK,Nadiezda ZIEBA,4253,50054,40950,16,https://bwf.tournamentsoftware.com/player-profile/1592B412-2F56-4D28-9166-AB22BAE6C03A,https://bwf.tournamentsoftware.com/player-profile/7D6B3C4E-7717-4E42-A5B7-C9B65B111224
22,-1,21,SGP/SGP,Danny Bawa CHRISNANTA,Yu Yan Vanessa NEO,66920,14297,40160,21,https://bwf.tournamentsoftware.com/player-profile/47BD3BA8-DB39-420B-BD95-84AE90A575C8,https://bwf.tournamentsoftware.com/player-profile/D343E9B3-BC83-4183-A97C-768DE48253D4
