rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN / CHN,"ZHANG Nan, ZHAO Yunlei",0,264 - 36,"$1,106,087.50","96,435 / 14","https://bwfbadminton.com/player/35357/zhang-nan,https://bwfbadminton.com/player/54522/zhao-yunlei","35357, 54522"
2,INA / INA,"Tontowi AHMAD, Liliyana NATSIR",0,223 - 61,"$769,207.49","77,582 / 16","https://bwfbadminton.com/player/54267/tontowi-ahmad,https://bwfbadminton.com/player/14727/liliyana-natsir","54267, 14727"
3,CHN / CHN,"LIU Cheng, BAO Yixin",0,83 - 36,"$215,046.22","77,200 / 16","https://bwfbadminton.com/player/95396/liu-cheng,https://bwfbadminton.com/player/80939/bao-yixin","95396, 80939"
4,KOR / KOR,"KO Sung Hyun, KIM Ha Na",0,110 - 45,"$341,984.99","76,410 / 19","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/73982/kim-ha-na","88094, 73982"
5,CHN / CHN,"XU Chen, MA Jin",0,200 - 54,"$814,668.10","74,751 / 16","https://bwfbadminton.com/player/51620/xu-chen,https://bwfbadminton.com/player/95281/ma-jin","51620, 95281"
6,DEN / DEN,"Joachim FISCHER NIELSEN, Christinna PEDERSEN",0,243 - 75,"$717,927.73","71,310 / 12","https://bwfbadminton.com/player/10513/joachim-fischer-nielsen,https://bwfbadminton.com/player/53759/christinna-pedersen","10513, 53759"
7,INA / INA,"Praveen JORDAN, Debby SUSANTO",0,78 - 40,"$210,820.59","69,682 / 24","https://bwfbadminton.com/player/89916/praveen-jordan,https://bwfbadminton.com/player/4425/debby-susanto","89916, 4425"
8,ENG / ENG,"Chris ADCOCK, Gabrielle ADCOCK",0,154 - 92,"$284,741.01","69,224 / 16","https://bwfbadminton.com/player/70333/chris-adcock,https://bwfbadminton.com/player/62844/gabrielle-adcock","70333, 62844"
9,HKG / HKG,"LEE Chun Hei Reginald, CHAU Hoi Wah",0,93 - 56,"$164,000.84","59,445 / 24","https://bwfbadminton.com/player/92609/lee-chun-hei-reginald,https://bwfbadminton.com/player/55285/chau-hoi-wah","92609, 55285"
10,KOR / KOR,"SHIN Baekcheol, CHAE YuJung",+1,37 - 16,"$102,666.24","55,430 / 16","https://bwfbadminton.com/player/54785/shin-baekcheol,https://bwfbadminton.com/player/93074/chae-yujung","54785, 93074"
11,CHN / CHN,"LU Kai, HUANG Ya Qiong",-1,70 - 31,"$137,206.23","54,880 / 17","https://bwfbadminton.com/player/28549/lu-kai,https://bwfbadminton.com/player/63168/huang-ya-qiong","28549, 63168"
12,KOR / KOR,"CHOI SolGyu, EOM Hye Won",0,33 - 19,"$108,018.74","49,330 / 20","https://bwfbadminton.com/player/67810/choi-solgyu,https://bwfbadminton.com/player/28492/eom-hye-won","67810, 28492"
13,MAS / MAS,"CHAN Peng Soon, GOH Liu Ying",0,169 - 100,"$202,525.61","47,360 / 23","https://bwfbadminton.com/player/53142/chan-peng-soon,https://bwfbadminton.com/player/53159/goh-liu-ying","53142, 53159"
14,NED / NED,"Jacco ARENDS, Selena PIEK",0,95 - 66,"$39,391.99","44,145 / 21","https://bwfbadminton.com/player/67175/jacco-arends,https://bwfbadminton.com/player/67176/selena-piek","67175, 67176"
15,INA / INA,"Edi SUBAKTIAR, Gloria Emanuelle WIDJAJA",+1,57 - 38,"$50,164.10","43,900 / 18","https://bwfbadminton.com/player/77978/edi-subaktiar,https://bwfbadminton.com/player/81702/gloria-emanuelle-widjaja","77978, 81702"
16,GER / GER,"Michael FUCHS, Birgit OVERZIER",-1,161 - 97,"$162,701.76","43,413 / 25","https://bwfbadminton.com/player/51263/michael-fuchs,https://bwfbadminton.com/player/50851/birgit-overzier","51263, 50851"
17,POL / POL,"Robert MATEUSIAK, Nadiezda ZIEBA",0,243 - 93,"$187,003.75","43,150 / 13","https://bwfbadminton.com/player/4253/robert-mateusiak,https://bwfbadminton.com/player/50054/nadiezda-zieba","4253, 50054"
18,THA / THA,"Bodin ISARA, Savitree AMITRAPAI",+11,33 - 10,"$33,417.33","39,100 / 12","https://bwfbadminton.com/player/75983/bodin-isara,https://bwfbadminton.com/player/53582/savitree-amitrapai","75983, 53582"
19,JPN / JPN,"Keigo SONODA, Naoko FUKUMAN",+4,18 - 15,"$17,261.23","38,670 / 15","https://bwfbadminton.com/player/90623/keigo-sonoda,https://bwfbadminton.com/player/56251/naoko-fukuman","90623, 56251"
20,INA / INA,"Ronald RONALD, Melati Daeva OKTAVIANTI",-2,49 - 27,"$22,671.10","38,360 / 18","https://bwfbadminton.com/player/54280/ronald-ronald,https://bwfbadminton.com/player/82061/melati-daeva-oktavianti","54280, 82061"
21,JPN / JPN,"Kenta KAZUNO, Ayane KURIHARA",-2,29 - 19,"$18,356.86","38,100 / 19","https://bwfbadminton.com/player/53161/kenta-kazuno,https://bwfbadminton.com/player/89285/ayane-kurihara","53161, 89285"
22,RUS / RUS,"Vitalij DURKIN, Nina VISLOVA",-1,178 - 84,"$74,517.72","37,734 / 22","https://bwfbadminton.com/player/9238/vitalij-durkin,https://bwfbadminton.com/player/15311/nina-vislova","9238, 15311"
23,NZL / HKG,"CHAN Alan Yun Lung, TSE Ying Suet",-1,59 - 54,"$48,019.74","37,497 / 21","https://bwfbadminton.com/player/3907/chan-alan-yun-lung,https://bwfbadminton.com/player/61435/tse-ying-suet","3907, 61435"
24,KOR / KOR,"KIM Gi Jung, SHIN Seungchan",0,16 - 21,"$45,396.86","36,380 / 18","https://bwfbadminton.com/player/39276/kim-gi-jung,https://bwfbadminton.com/player/87473/shin-seungchan","39276, 87473"
25,JPN / JPN,"Kenichi HAYAKAWA, Misaki MATSUTOMO",0,58 - 69,"$44,433.82","36,180 / 11","https://bwfbadminton.com/player/54527/kenichi-hayakawa,https://bwfbadminton.com/player/43851/misaki-matsutomo","54527, 43851"
26,FRA / FRA,"Ronan LABAR, Emilie LEFEL",0,77 - 51,"$18,393.99","36,158 / 25","https://bwfbadminton.com/player/22038/ronan-labar,https://bwfbadminton.com/player/54079/emilie-lefel","22038, 54079"
27,SGP / SGP,"Danny Bawa CHRISNANTA, Yu Yan Vanessa NEO",0,131 - 112,"$71,968.62","35,854 / 23","https://bwfbadminton.com/player/66920/danny-bawa-chrisnanta,https://bwfbadminton.com/player/14297/yu-yan-vanessa-neo","66920, 14297"
28,INA / INA,"Riky WIDIANTO, Richi Puspita DILI",-8,83 - 56,"$101,621.08","35,770 / 15","https://bwfbadminton.com/player/54175/riky-widianto,https://bwfbadminton.com/player/66907/richi-puspita-dili","54175, 66907"
29,USA / USA,"Phillip CHEW, Jamie SUBANDHI",-1,79 - 71,"$20,068.64","35,168 / 29","https://bwfbadminton.com/player/36299/phillip-chew,https://bwfbadminton.com/player/52771/jamie-subandhi","36299, 52771"
30,THA / THA,"Sudket PRAPAKAMOL, Saralee THOUNGTHONGKAM",0,296 - 179,"$336,467.45","34,700 / 13","https://bwfbadminton.com/player/10650/sudket-prapakamol,https://bwfbadminton.com/player/7065/saralee-thoungthongkam","10650, 7065"
31,CAN / CAN,"Toby NG, Alex BRUCE",0,66 - 37,"$20,939.94","34,214 / 18","https://bwfbadminton.com/player/53930/toby-ng,https://bwfbadminton.com/player/30962/alex-bruce","53930, 30962"
32,CHN / CHN,"HUANG Kai Xiang, HUANG Dong Ping",0,24 - 10,"$29,128.12","33,740 / 9","https://bwfbadminton.com/player/83797/huang-kai-xiang,https://bwfbadminton.com/player/89426/huang-dong-ping","83797, 89426"
33,TPE / TPE,"LIAO Min Chun, CHEN Hsiao Huan",+6,54 - 64,"$19,189.98","32,850 / 19","https://bwfbadminton.com/player/53230/liao-min-chun,https://bwfbadminton.com/player/51518/chen-hsiao-huan","53230, 51518"
34,DEN / DEN,"Niclas NOHR, Sara THYGESEN",-1,54 - 28,"$18,539.25","32,590 / 12","https://bwfbadminton.com/player/64188/niclas-nohr,https://bwfbadminton.com/player/68189/sara-thygesen","64188, 68189"
35,INA / INA,"Markis KIDO, Pia Zebadiah BERNADET",-1,69 - 56,"$105,655.35","32,050 / 13","https://bwfbadminton.com/player/50420/markis-kido,https://bwfbadminton.com/player/52730/pia-zebadiah-bernadet","50420, 52730"
36,RUS / RUS,"Evgenij DREMIN, Evgenia DIMOVA",-1,59 - 44,"$21,322.99","31,438 / 15","https://bwfbadminton.com/player/11606/evgenij-dremin,https://bwfbadminton.com/player/53676/evgenia-dimova","11606, 53676"
