rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN / CHN,"ZHENG Si Wei, HUANG Ya Qiong",0,72 - 5,"$1,025,180.60","108,600 / 14","https://bwfbadminton.com/player/83046/zheng-si-wei,https://bwfbadminton.com/player/63168/huang-ya-qiong","83046, 63168"
2,CHN / CHN,"WANG Yi Lyu, HUANG Dong Ping",0,80 - 27,"$318,841.89","85,350 / 15","https://bwfbadminton.com/player/99452/wang-yi-lyu,https://bwfbadminton.com/player/89426/huang-dong-ping","99452, 89426"
3,JPN / JPN,"Yuta WATANABE, Arisa HIGASHINO",+2,64 - 38,"$194,366.88","75,440 / 17","https://bwfbadminton.com/player/58240/yuta-watanabe,https://bwfbadminton.com/player/79558/arisa-higashino","58240, 79558"
4,INA / INA,"Tontowi AHMAD, Liliyana NATSIR",-1,307 - 86,"$1,247,899.99","75,370 / 12","https://bwfbadminton.com/player/54267/tontowi-ahmad,https://bwfbadminton.com/player/14727/liliyana-natsir","54267, 14727"
5,HKG / HKG,"TANG Chun Man, TSE Ying Suet",-1,71 - 35,"$248,304.26","71,400 / 17","https://bwfbadminton.com/player/77689/tang-chun-man,https://bwfbadminton.com/player/61435/tse-ying-suet","77689, 61435"
6,MAS / MAS,"CHAN Peng Soon, GOH Liu Ying",+1,242 - 135,"$399,871.62","65,260 / 18","https://bwfbadminton.com/player/53142/chan-peng-soon,https://bwfbadminton.com/player/53159/goh-liu-ying","53142, 53159"
7,THA / THA,"Dechapol PUAVARANUKROH, Sapsiree TAERATTANACHAI",+1,99 - 45,"$158,064.37","65,250 / 17","https://bwfbadminton.com/player/61731/dechapol-puavaranukroh,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","61731, 67158"
8,DEN / DEN,"Mathias CHRISTIANSEN, Christinna PEDERSEN",-2,36 - 17,"$568,965.25","63,200 / 14","https://bwfbadminton.com/player/99521/mathias-christiansen,https://bwfbadminton.com/player/53759/christinna-pedersen","99521, 53759"
9,ENG / ENG,"Chris ADCOCK, Gabrielle ADCOCK",0,233 - 137,"$455,656.01","62,320 / 15","https://bwfbadminton.com/player/70333/chris-adcock,https://bwfbadminton.com/player/62844/gabrielle-adcock","70333, 62844"
10,CHN / CHN,"ZHANG Nan, LI Yin Hui",0,60 - 21,"$731,837.50","60,830 / 11","https://bwfbadminton.com/player/35357/zhang-nan,https://bwfbadminton.com/player/82249/li-yin-hui","35357, 82249"
11,MAS / MAS,"GOH Soon Huat, LAI Shevon Jemie",0,68 - 32,"$114,038.81","59,550 / 18","https://bwfbadminton.com/player/92593/goh-soon-huat,https://bwfbadminton.com/player/56352/lai-shevon-jemie","92593, 56352"
12,INA / INA,"Hafiz FAIZAL, Gloria Emanuelle WIDJAJA",0,32 - 21,"$120,712.37","59,440 / 19","https://bwfbadminton.com/player/12557/hafiz-faizal,https://bwfbadminton.com/player/81702/gloria-emanuelle-widjaja","12557, 81702"
13,CHN / CHN,"HE Ji Ting, DU Yue",0,56 - 26,"$116,513.14","58,530 / 15","https://bwfbadminton.com/player/59673/he-ji-ting,https://bwfbadminton.com/player/65984/du-yue","59673, 65984"
