rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,MAS,LEE Chong Wei,50152,96599,16,https://bwf.tournamentsoftware.com/player-profile/2E62073C-AD95-40BE-8364-0A2EC054A4AC
2,0,2,CHN,LIN Dan,50906,93226,16,https://bwf.tournamentsoftware.com/player-profile/296B69A5-3C25-4E3D-964E-DDFA46A1333A
3,0,3,CHN,CHEN Long,75787,84633,17,https://bwf.tournamentsoftware.com/player-profile/8F42FC23-89C1-40CF-8F20-8519DE2BE4EF
4,0,4,DEN,Peter Hoeg GADE,6926,73863,15,https://bwf.tournamentsoftware.com/player-profile/D5745F12-D4EC-4638-B380-0E7EB18419F8
5,0,5,CHN,CHEN Jin,51592,70118,19,https://bwf.tournamentsoftware.com/player-profile/36060B60-5413-4DE7-A2D5-FDBAE446908E
6,0,6,JPN,Sho SASAKI,50905,67840,23,https://bwf.tournamentsoftware.com/player-profile/21E15CFC-B686-44B7-BD61-324605C679AA
7,0,7,KOR,LEE Hyun Il,11704,58719,20,https://bwf.tournamentsoftware.com/player-profile/0800FC8B-CBAB-4AC1-B6C7-F3D419906440
8,0,8,JPN,Kenichi TAGO,63707,58704,17,https://bwf.tournamentsoftware.com/player-profile/A351C07C-62BC-4300-875D-7DE62E771AAD
9,0,9,INA,Simon SANTOSO,51599,55044,19,https://bwf.tournamentsoftware.com/player-profile/9C5D7BA0-3A42-4DCC-A7F6-1154489631B7
10,1,11,CHN,DU Pengyu,55380,53715,15,https://bwf.tournamentsoftware.com/player-profile/C07A72AE-0687-40A1-86D2-5613BBB1462F
11,-1,10,VIE,Tien Minh NGUYEN,14107,52574,18,https://bwf.tournamentsoftware.com/player-profile/26791000-C115-4F98-A3F7-EC3A12D28386
12,0,12,INA,Taufik HIDAYAT,10337,52375,18,https://bwf.tournamentsoftware.com/player-profile/08A4099B-DF05-4295-A672-0711C6B69C34
13,0,13,DEN,Jan O JORGENSEN,54431,49912,15,https://bwf.tournamentsoftware.com/player-profile/7D1E14D8-1B2E-48E1-B6A4-3973D713C3EF
14,1,15,CHN,WANG Zhengming,23736,46792,18,https://bwf.tournamentsoftware.com/player-profile/5347291B-7325-4866-AC14-CEE94178DE93
15,2,17,DEN,Hans-Kristian Solberg VITTINGHUS,53753,46640,20,https://bwf.tournamentsoftware.com/player-profile/4C55FDF0-BC29-4F2E-BD6D-36D7BE4BA4E2
16,0,16,INA,Tommy SUGIARTO,14587,45895,23,https://bwf.tournamentsoftware.com/player-profile/755488DF-BE39-49C8-ABA0-38BF8ADDA058
17,-3,14,GER,Marc ZWIEBLER,50858,44737,20,https://bwf.tournamentsoftware.com/player-profile/39E76D72-B750-49D1-864B-18FE1B2B3367
18,0,18,KOR,SON Wanho,54346,44151,21,https://bwf.tournamentsoftware.com/player-profile/CB6FBD50-283A-4AA2-A5CE-5FE0778BC1E3
19,1,20,HKG,WONG Wing Ki Vincent,55280,41537,25,https://bwf.tournamentsoftware.com/player-profile/D27868EC-90CD-4D18-81E0-7C80BAD3CFAF
20,1,21,ESP,Pablo ABIAN,14251,40195,20,https://bwf.tournamentsoftware.com/player-profile/638FB7FF-AEC5-45EA-A2C2-0DBD6DA58BAB
21,-2,19,KOR,PARK Sung Hwan,51324,40013,9,https://bwf.tournamentsoftware.com/player-profile/086C6D60-AB80-4273-89DB-D0B0DFF661E5
22,1,23,HKG,HU Yun,14869,38126,19,https://bwf.tournamentsoftware.com/player-profile/37B8D414-634F-4C3F-93AC-91C7399EF113
23,3,26,ENG,Rajiv OUSEPH,51613,37572,18,https://bwf.tournamentsoftware.com/player-profile/331723FE-F589-433C-86C8-687467F176B0
