rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,MAS,LEE Chong Wei,50152,98997,11,https://bwf.tournamentsoftware.com/player-profile/2E62073C-AD95-40BE-8364-0A2EC054A4AC
2,0,2,CHN,LIN Dan,50906,84066,13,https://bwf.tournamentsoftware.com/player-profile/296B69A5-3C25-4E3D-964E-DDFA46A1333A
3,0,3,DEN,Peter Hoeg GADE,6926,73863,10,https://bwf.tournamentsoftware.com/player-profile/D5745F12-D4EC-4638-B380-0E7EB18419F8
4,0,4,CHN,CHEN Long,75787,71980,14,https://bwf.tournamentsoftware.com/player-profile/8F42FC23-89C1-40CF-8F20-8519DE2BE4EF
5,0,5,INA,Taufik HIDAYAT,10337,67040,15,https://bwf.tournamentsoftware.com/player-profile/08A4099B-DF05-4295-A672-0711C6B69C34
6,0,6,CHN,CHEN Jin,51592,58200,13,https://bwf.tournamentsoftware.com/player-profile/36060B60-5413-4DE7-A2D5-FDBAE446908E
7,0,7,VIE,Tien Minh NGUYEN,14107,57919,16,https://bwf.tournamentsoftware.com/player-profile/26791000-C115-4F98-A3F7-EC3A12D28386
8,0,8,CHN,DU Pengyu,55380,56740,15,https://bwf.tournamentsoftware.com/player-profile/C07A72AE-0687-40A1-86D2-5613BBB1462F
9,0,9,JPN,Sho SASAKI,50905,54466,16,https://bwf.tournamentsoftware.com/player-profile/21E15CFC-B686-44B7-BD61-324605C679AA
10,0,10,THA,Boonsak PONSANA,11959,53714,20,https://bwf.tournamentsoftware.com/player-profile/0CA686F7-D694-4C53-A2E1-08950598A827
11,0,11,CHN,BAO Chunlai,51274,52970,12,https://bwf.tournamentsoftware.com/player-profile/F882194D-79B9-487B-9F97-CB9D5777324C
12,0,12,KOR,PARK Sung Hwan,51324,51863,16,https://bwf.tournamentsoftware.com/player-profile/086C6D60-AB80-4273-89DB-D0B0DFF661E5
13,0,13,KOR,LEE Hyun Il,11704,48320,16,https://bwf.tournamentsoftware.com/player-profile/0800FC8B-CBAB-4AC1-B6C7-F3D419906440
14,0,14,DEN,Jan O JORGENSEN,54431,47814,14,https://bwf.tournamentsoftware.com/player-profile/7D1E14D8-1B2E-48E1-B6A4-3973D713C3EF
15,0,15,GER,Marc ZWIEBLER,50858,47761,20,https://bwf.tournamentsoftware.com/player-profile/39E76D72-B750-49D1-864B-18FE1B2B3367
16,0,16,CHN,WANG Zhengming,23736,45800,15,https://bwf.tournamentsoftware.com/player-profile/5347291B-7325-4866-AC14-CEE94178DE93
17,0,17,HKG,HU Yun,14869,41852,17,https://bwf.tournamentsoftware.com/player-profile/37B8D414-634F-4C3F-93AC-91C7399EF113
18,0,18,INA,Simon SANTOSO,51599,41494,9,https://bwf.tournamentsoftware.com/player-profile/9C5D7BA0-3A42-4DCC-A7F6-1154489631B7
19,0,19,DEN,Hans-Kristian Solberg VITTINGHUS,53753,40493,19,https://bwf.tournamentsoftware.com/player-profile/4C55FDF0-BC29-4F2E-BD6D-36D7BE4BA4E2
20,0,20,JPN,Kenichi TAGO,63707,40340,10,https://bwf.tournamentsoftware.com/player-profile/A351C07C-62BC-4300-875D-7DE62E771AAD
21,0,21,ESP,Pablo ABIAN,14251,37970,17,https://bwf.tournamentsoftware.com/player-profile/638FB7FF-AEC5-45EA-A2C2-0DBD6DA58BAB
22,0,22,INA,Tommy SUGIARTO,14587,37700,17,https://bwf.tournamentsoftware.com/player-profile/755488DF-BE39-49C8-ABA0-38BF8ADDA058
23,0,23,IND,PARUPALLI Kashyap,53944,36327,13,https://bwf.tournamentsoftware.com/player-profile/0DE63AAB-7715-46DC-8F3A-845734C2FA54
24,0,24,HKG,WONG Wing Ki Vincent,55280,35336,20,https://bwf.tournamentsoftware.com/player-profile/D27868EC-90CD-4D18-81E0-7C80BAD3CFAF
25,4,29,IND,Ajay JAYARAM,55351,35200,18,https://bwf.tournamentsoftware.com/player-profile/C4E68A77-F815-443A-B109-F19A91BA687A
26,-1,25,GUA,Kevin CORDON,54897,34830,17,https://bwf.tournamentsoftware.com/player-profile/B8ECFF4D-C7A9-4778-AE13-900E7F626638
27,-1,26,INA,Dionysius Hayom RUMBAKA,66990,34569,14,https://bwf.tournamentsoftware.com/player-profile/A231A11E-1ED5-46F2-AA97-7AD6E5E0C347
28,-1,27,JPN,Kazushi YAMADA,54025,34170,15,https://bwf.tournamentsoftware.com/player-profile/28F9B982-A224-448B-8FCF-81D4B0DAB7D1
29,-1,28,KOR,SON Wanho,54346,33760,16,https://bwf.tournamentsoftware.com/player-profile/CB6FBD50-283A-4AA2-A5CE-5FE0778BC1E3
30,2,32,INA,Alamsyah YUNUS,14553,33240,10,https://bwf.tournamentsoftware.com/player-profile/21216C98-356B-4D7A-9C04-9CC3D970844B
31,-1,30,ENG,Rajiv OUSEPH,51613,33029,13,https://bwf.tournamentsoftware.com/player-profile/331723FE-F589-433C-86C8-687467F176B0
32,-1,31,POL,Przemyslaw WACHA,8396,32980,14,https://bwf.tournamentsoftware.com/player-profile/10397B31-1500-49A3-8A5E-C32F5BB8926C
33,0,33,DEN,Viktor AXELSEN,25831,30710,13,https://bwf.tournamentsoftware.com/player-profile/3BF0C3EA-7BFB-4CC9-A955-3712D850CFA4
34,0,34,FRA,Brice LEVERDEZ,52968,30157,21,https://bwf.tournamentsoftware.com/player-profile/00BA89AE-88B8-4575-98CA-815506AC4E8E
35,0,35,NED,Eric PANG,10319,29920,19,https://bwf.tournamentsoftware.com/player-profile/806F7F5F-AC8E-4FFE-BBB0-18F351B9075D
36,0,36,HKG,CHAN Yan Kit,51306,29516,18,https://bwf.tournamentsoftware.com/player-profile/E0BC1E13-F583-4188-A186-3B542310627A
37,0,37,JPN,Takuma UEDA,47181,29270,13,https://bwf.tournamentsoftware.com/player-profile/0944FFB3-2A06-4E10-8F37-6208BD397A58
38,0,38,SGP,Zi Liang Derek WONG,52701,29066,16,https://bwf.tournamentsoftware.com/player-profile/57552FF3-165C-497C-AF24-9FD6EF50F8F6
39,0,39,FIN,Ville LANG,15453,28792,22,https://bwf.tournamentsoftware.com/player-profile/DF71F833-E503-4FE9-A991-D2128441CDB0
40,0,40,LTU,Kestutis NAVICKAS,13460,28777,16,https://bwf.tournamentsoftware.com/player-profile/A685C85A-67E9-4400-9E1C-3F351A0229E2
41,0,41,NED,Dicky PALYAMA,6967,28700,18,https://bwf.tournamentsoftware.com/player-profile/247634BE-A647-4D40-AEF5-11A2C8F3E8F8
42,1,43,TPE,HSU Jen Hao,67100,28260,12,https://bwf.tournamentsoftware.com/player-profile/73739E0E-20CC-47AA-A835-3687D4BB6E98
43,-1,42,MAS,Choong Hann WONG,4240,28120,9,https://bwf.tournamentsoftware.com/player-profile/BF774378-F73E-4BDE-8038-2BCEF6CAD0D5
