rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,CHN,LIN Dan,50906,93313,15,https://bwf.tournamentsoftware.com/player-profile/296B69A5-3C25-4E3D-964E-DDFA46A1333A
2,0,2,MAS,LEE Chong Wei,50152,91899,15,https://bwf.tournamentsoftware.com/player-profile/2E62073C-AD95-40BE-8364-0A2EC054A4AC
3,0,3,CHN,CHEN Long,75787,82460,17,https://bwf.tournamentsoftware.com/player-profile/8F42FC23-89C1-40CF-8F20-8519DE2BE4EF
4,0,4,CHN,CHEN Jin,51592,71293,20,https://bwf.tournamentsoftware.com/player-profile/36060B60-5413-4DE7-A2D5-FDBAE446908E
5,0,5,DEN,Peter Hoeg GADE,6926,64682,16,https://bwf.tournamentsoftware.com/player-profile/D5745F12-D4EC-4638-B380-0E7EB18419F8
6,0,6,JPN,Sho SASAKI,50905,63080,20,https://bwf.tournamentsoftware.com/player-profile/21E15CFC-B686-44B7-BD61-324605C679AA
7,0,7,INA,Simon SANTOSO,51599,61543,19,https://bwf.tournamentsoftware.com/player-profile/9C5D7BA0-3A42-4DCC-A7F6-1154489631B7
8,0,8,JPN,Kenichi TAGO,63707,58610,16,https://bwf.tournamentsoftware.com/player-profile/A351C07C-62BC-4300-875D-7DE62E771AAD
9,0,9,CHN,DU Pengyu,55380,56636,17,https://bwf.tournamentsoftware.com/player-profile/C07A72AE-0687-40A1-86D2-5613BBB1462F
10,0,10,KOR,LEE Hyun Il,11704,56313,18,https://bwf.tournamentsoftware.com/player-profile/0800FC8B-CBAB-4AC1-B6C7-F3D419906440
11,0,11,VIE,Tien Minh NGUYEN,14107,55724,18,https://bwf.tournamentsoftware.com/player-profile/26791000-C115-4F98-A3F7-EC3A12D28386
12,0,12,INA,Taufik HIDAYAT,10337,51400,22,https://bwf.tournamentsoftware.com/player-profile/08A4099B-DF05-4295-A672-0711C6B69C34
13,0,13,DEN,Jan O JORGENSEN,54431,51282,15,https://bwf.tournamentsoftware.com/player-profile/7D1E14D8-1B2E-48E1-B6A4-3973D713C3EF
14,0,14,DEN,Hans-Kristian Solberg VITTINGHUS,53753,50883,19,https://bwf.tournamentsoftware.com/player-profile/4C55FDF0-BC29-4F2E-BD6D-36D7BE4BA4E2
15,0,15,KOR,SON Wanho,54346,50456,22,https://bwf.tournamentsoftware.com/player-profile/CB6FBD50-283A-4AA2-A5CE-5FE0778BC1E3
16,0,16,GER,Marc ZWIEBLER,50858,48138,17,https://bwf.tournamentsoftware.com/player-profile/39E76D72-B750-49D1-864B-18FE1B2B3367
17,1,18,CHN,WANG Zhengming,23736,47452,17,https://bwf.tournamentsoftware.com/player-profile/5347291B-7325-4866-AC14-CEE94178DE93
18,-1,17,INA,Tommy SUGIARTO,14587,46790,24,https://bwf.tournamentsoftware.com/player-profile/755488DF-BE39-49C8-ABA0-38BF8ADDA058
19,0,19,INA,Dionysius Hayom RUMBAKA,66990,43392,19,https://bwf.tournamentsoftware.com/player-profile/A231A11E-1ED5-46F2-AA97-7AD6E5E0C347
20,0,20,HKG,HU Yun,14869,41476,18,https://bwf.tournamentsoftware.com/player-profile/37B8D414-634F-4C3F-93AC-91C7399EF113
21,11,32,THA,Boonsak PONSANA,11959,40517,16,https://bwf.tournamentsoftware.com/player-profile/0CA686F7-D694-4C53-A2E1-08950598A827
22,-1,21,IND,PARUPALLI Kashyap,53944,40247,21,https://bwf.tournamentsoftware.com/player-profile/0DE63AAB-7715-46DC-8F3A-845734C2FA54
23,-1,22,HKG,WONG Wing Ki Vincent,55280,39977,23,https://bwf.tournamentsoftware.com/player-profile/D27868EC-90CD-4D18-81E0-7C80BAD3CFAF
24,5,29,DEN,Viktor AXELSEN,25831,39012,15,https://bwf.tournamentsoftware.com/player-profile/3BF0C3EA-7BFB-4CC9-A955-3712D850CFA4
25,-2,23,ENG,Rajiv OUSEPH,51613,38610,18,https://bwf.tournamentsoftware.com/player-profile/331723FE-F589-433C-86C8-687467F176B0
26,-1,25,IND,Ajay JAYARAM,55351,38322,21,https://bwf.tournamentsoftware.com/player-profile/C4E68A77-F815-443A-B109-F19A91BA687A
27,-3,24,TPE,HSU Jen Hao,67100,37675,25,https://bwf.tournamentsoftware.com/player-profile/73739E0E-20CC-47AA-A835-3687D4BB6E98
28,3,31,MAS,LIEW Daren,52864,37117,20,https://bwf.tournamentsoftware.com/player-profile/76C0DB76-3230-4FA0-9036-99E71183E73C
29,7,36,INA,Sony Dwi KUNCORO,50427,36530,14,https://bwf.tournamentsoftware.com/player-profile/5D5CBB33-58AF-4572-90B0-A081781698D4
30,-4,26,INA,Alamsyah YUNUS,14553,36510,12,https://bwf.tournamentsoftware.com/player-profile/21216C98-356B-4D7A-9C04-9CC3D970844B
31,-4,27,MAS,Muhammad Hafiz HASHIM,12370,36133,15,https://bwf.tournamentsoftware.com/player-profile/D5A36BB6-EDE4-4A73-95EB-EC93BC35A0F7
32,5,37,MAS,CHONG Wei Feng,52030,34970,18,https://bwf.tournamentsoftware.com/player-profile/B4C578E6-C57D-4414-B7E5-F5C25E21D9E5
33,-5,28,GUA,Kevin CORDON,54897,34930,16,https://bwf.tournamentsoftware.com/player-profile/B8ECFF4D-C7A9-4778-AE13-900E7F626638
34,-4,30,ESP,Pablo ABIAN,14251,34675,21,https://bwf.tournamentsoftware.com/player-profile/638FB7FF-AEC5-45EA-A2C2-0DBD6DA58BAB
35,-2,33,POL,Przemyslaw WACHA,8396,33443,19,https://bwf.tournamentsoftware.com/player-profile/10397B31-1500-49A3-8A5E-C32F5BB8926C
36,-2,34,TPE,HSUEH Hsuan Yi,52983,33218,22,https://bwf.tournamentsoftware.com/player-profile/09B6282C-ED80-4A31-98E1-7609ED206FE9
37,-2,35,JPN,Kazushi YAMADA,54025,33005,15,https://bwf.tournamentsoftware.com/player-profile/28F9B982-A224-448B-8FCF-81D4B0DAB7D1
38,2,40,IND,Sourabh VERMA,25925,31493,19,https://bwf.tournamentsoftware.com/player-profile/E5384E08-D2A5-4913-A8C8-A04DE72085AB
39,-1,38,FRA,Brice LEVERDEZ,52968,31473,22,https://bwf.tournamentsoftware.com/player-profile/00BA89AE-88B8-4575-98CA-815506AC4E8E
40,-1,39,JPN,Takuma UEDA,47181,31254,13,https://bwf.tournamentsoftware.com/player-profile/0944FFB3-2A06-4E10-8F37-6208BD397A58
41,5,46,THA,Tanongsak SAENSOMBOONSUK,54513,30531,18,https://bwf.tournamentsoftware.com/player-profile/07BB032D-0C06-461D-844B-F7018DCCF14F
42,-1,41,SWE,Henri HURSKAINEN,52325,30509,23,https://bwf.tournamentsoftware.com/player-profile/4936E803-3FC7-4B24-9CD8-54BE4B6C2B9E
43,-1,42,FIN,Ville LANG,15453,30260,19,https://bwf.tournamentsoftware.com/player-profile/DF71F833-E503-4FE9-A991-D2128441CDB0
44,6,50,IND,GURUSAIDUTT R. M. V.,32722,29500,19,https://bwf.tournamentsoftware.com/player-profile/B0190B7C-900C-45E4-AEFA-632EA75910EF
45,-2,43,HKG,CHAN Yan Kit,51306,29126,18,https://bwf.tournamentsoftware.com/player-profile/E0BC1E13-F583-4188-A186-3B542310627A
46,-2,44,RUS,Vladimir IVANOV,53924,28490,22,https://bwf.tournamentsoftware.com/player-profile/01F92222-86C1-4C20-AA4F-BEF46B1B5E37
47,0,47,INA,Andre Kurniawan TEDJONO,52738,28470,17,https://bwf.tournamentsoftware.com/player-profile/5DE786C5-A694-4C59-92D3-94CDCF444A4B
48,0,48,SGP,Zi Liang Derek WONG,52701,28447,23,https://bwf.tournamentsoftware.com/player-profile/57552FF3-165C-497C-AF24-9FD6EF50F8F6
49,-4,45,MAS,Chun Seang TAN,52867,28140,12,https://bwf.tournamentsoftware.com/player-profile/F31FE74C-C00C-4A50-84DE-A9A621B94DF2
50,-1,49,UKR,Dmytro ZAVADSKY,54439,27781,24,https://bwf.tournamentsoftware.com/player-profile/3106A0A1-9AE6-45B7-A806-F93F8B218455
51,2,53,NED,Eric PANG,10319,27370,19,https://bwf.tournamentsoftware.com/player-profile/806F7F5F-AC8E-4FFE-BBB0-18F351B9075D
52,-1,51,SRI,Niluka KARUNARATNE,14004,26768,18,https://bwf.tournamentsoftware.com/player-profile/FA13F491-EAC9-4457-BC26-B09E97E073A5
53,-1,52,BEL,Yuhan TAN,51690,26674,22,https://bwf.tournamentsoftware.com/player-profile/0AB7EB15-13AF-43A4-B502-DCD2B58DE81C
54,0,54,THA,Suppanyu AVIHINGSANON,46874,26356,19,https://bwf.tournamentsoftware.com/player-profile/7E30B761-859A-4C6A-BC30-651FFD4A7664
55,7,62,IND,Anand PAWAR,51598,26293,22,https://bwf.tournamentsoftware.com/player-profile/330FEE24-5AD8-4A42-B167-0BBE4627E4D8
56,-1,55,TPE,CHOU Tien Chen,34810,25837,17,https://bwf.tournamentsoftware.com/player-profile/41A01287-FA86-45C1-B980-860FC1C2DEB4
57,-1,56,MAS,Mohamad Arif Ab Latif ARIF,53131,25550,16,https://bwf.tournamentsoftware.com/player-profile/8FF01D45-3FFA-46D9-B66C-EBDD1386625F
