rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,CHN,WANG Shixian,83064,81706,11,https://bwf.tournamentsoftware.com/player-profile/2F7CBE3A-CD73-4B1F-9FB0-6C31A46C000B
2,0,2,CHN,WANG Yihan,53938,78189,12,https://bwf.tournamentsoftware.com/player-profile/9B30EE44-28C0-43FF-B4AE-17DADA30D29A
3,0,3,CHN,WANG Xin,51520,70862,10,https://bwf.tournamentsoftware.com/player-profile/2CD47146-7081-4074-B3F4-2687F35B96FE
4,0,4,DEN,Tine BAUN,10358,66199,10,https://bwf.tournamentsoftware.com/player-profile/51BB0F6B-1D20-4A57-9DF1-92F958D9E47D
5,0,5,IND,Saina NEHWAL,52748,63091,10,https://bwf.tournamentsoftware.com/player-profile/3E7EEDF9-07F0-474E-A02B-CB598BBE365A
6,0,6,CHN,JIANG Yanjiao,14874,59751,9,https://bwf.tournamentsoftware.com/player-profile/26250F68-6DFA-4749-8DCE-80DDF964CF94
7,0,7,GER,Juliane SCHENK,13475,52159,19,https://bwf.tournamentsoftware.com/player-profile/36259742-0EA1-44EB-9E3D-67C77FDE005C
8,0,8,KOR,BAE Yeon Ju,22455,51621,16,https://bwf.tournamentsoftware.com/player-profile/7C473837-E787-4AB7-9221-CC5D88CA82A6
9,0,9,HKG,YIP Pui Yin,51649,50654,15,https://bwf.tournamentsoftware.com/player-profile/B368A130-10A6-4C37-886A-4EF8AE4D6E78
10,0,10,CHN,LI Xue Rui,64643,49650,11,https://bwf.tournamentsoftware.com/player-profile/A8B4DEC1-972C-4517-9D80-4FBB300F91ED
11,1,12,RUS,Ella DIEHL,6115,46564,17,https://bwf.tournamentsoftware.com/player-profile/56D42FCF-E1FA-4CB3-80B9-090691E6334C
12,-1,11,FRA,PI Hongyan,9699,45290,13,https://bwf.tournamentsoftware.com/player-profile/6EBCEC0C-FB4A-458D-868F-F20C6A110A32
13,0,13,CHN,LIU Xin (F),14398,44640,10,https://bwf.tournamentsoftware.com/player-profile/FC610B10-2169-47E2-8EB1-4A0AA9F12DF3
14,2,16,BUL,Petya NEDELCHEVA,12765,44013,20,https://bwf.tournamentsoftware.com/player-profile/D122C443-A2F9-4A06-B076-6BF717DEEB83
15,-1,14,NED,YAO Jie,5564,43990,17,https://bwf.tournamentsoftware.com/player-profile/15EC2421-543A-4E50-B70C-04C4955053AE
16,-1,15,TPE,CHENG Shao Chieh,14864,43770,12,https://bwf.tournamentsoftware.com/player-profile/554CF19A-0F24-4FB1-95BB-83D04F5F439F
17,0,17,JPN,Eriko HIROSE,15417,42524,12,https://bwf.tournamentsoftware.com/player-profile/73E0B6C9-9EB4-4E28-B08E-5BC5DABAEAD7
18,0,18,THA,Salakjit PONSANA,50728,41140,15,https://bwf.tournamentsoftware.com/player-profile/8AD50FAA-26F0-44FB-B0FC-8C7B8A82E357
19,0,19,JPN,Ai GOTO,54531,39788,16,https://bwf.tournamentsoftware.com/player-profile/F0CFD21C-8F7E-4AC9-AB36-8C58A7932E10
20,0,20,THA,Porntip BURANAPRASERTSUK,54511,39590,14,https://bwf.tournamentsoftware.com/player-profile/0E37B63A-1D68-48EB-A948-A1EB8D72B171
21,0,21,CHN,LU Lan,53057,38940,9,https://bwf.tournamentsoftware.com/player-profile/14243308-657A-463C-8073-46E9642DD038
22,0,22,TPE,TAI Tzu Ying,61427,38630,14,https://bwf.tournamentsoftware.com/player-profile/E7478462-B482-44AA-8170-A719B6AE45C9
23,0,23,THA,Ratchanok INTANON,35642,38577,12,https://bwf.tournamentsoftware.com/player-profile/99EA34EF-1515-4CE4-94A2-9A3304DD28A5
24,0,24,KOR,SUNG Jihyun,76594,38135,15,https://bwf.tournamentsoftware.com/player-profile/18BDE483-5C63-4C57-8D4F-47EEECBEA966
25,0,25,MAS,Mew Choo WONG,11769,37061,11,https://bwf.tournamentsoftware.com/player-profile/73799B23-881E-4322-9A36-BB3E1C51CA39
26,0,26,JPN,Sayaka SATO,77317,36349,14,https://bwf.tournamentsoftware.com/player-profile/6C8F6FDE-65A8-4755-B8E3-4501791937C4
27,3,30,BUL,Linda ZETCHIRI,15105,33305,18,https://bwf.tournamentsoftware.com/player-profile/A942373B-2091-47D5-A275-7301C22E3057
