rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,TPE,TAI Tzu Ying,0,262 - 123,"$656,005.00","94,409 / 15",https://bwfbadminton.com/player/61427/tai-tzu-ying,61427
2,JPN,Akane YAMAGUCHI,0,180 - 63,"$306,670.00","78,199 / 18",https://bwfbadminton.com/player/96312/akane-yamaguchi,96312
3,KOR,SUNG Jihyun,0,306 - 146,"$556,127.50","77,735 / 17",https://bwfbadminton.com/player/76594/sung-jihyun,76594
4,ESP,Carolina MARIN,0,281 - 88,"$415,816.00","77,687 / 14",https://bwfbadminton.com/player/18228/carolina-marin,18228
5,IND,PUSARLA V. Sindhu,0,223 - 98,"$279,583.00","76,946 / 15",https://bwfbadminton.com/player/73173/pusarla-v-sindhu,73173
6,CHN,SUN Yu,0,146 - 58,"$239,180.00","68,791 / 13",https://bwfbadminton.com/player/92736/sun-yu,92736
7,CHN,HE Bing Jiao,0,123 - 36,"$147,620.00","62,272 / 15",https://bwfbadminton.com/player/87434/he-bing-jiao,87434
8,JPN,Nozomi OKUHARA,0,186 - 66,"$325,415.50","57,637 / 12",https://bwfbadminton.com/player/96713/nozomi-okuhara,96713
9,THA,Ratchanok INTANON,0,273 - 127,"$486,555.00","56,311 / 14",https://bwfbadminton.com/player/35642/ratchanok-intanon,35642
10,USA,Beiwen ZHANG,0,190 - 91,"$108,656.12","54,180 / 14",https://bwfbadminton.com/player/53806/beiwen-zhang,53806
11,CHN,CHEN Yu Fei,0,102 - 37,"$50,675.00","53,170 / 16",https://bwfbadminton.com/player/78778/chen-yu-fei,78778
12,THA,Busanan ONGBAMRUNGPHAN,0,176 - 107,"$108,450.00","50,763 / 17",https://bwfbadminton.com/player/58271/busanan-ongbamrungphan,58271
13,JPN,Sayaka SATO,+1,198 - 125,"$180,060.00","49,095 / 15",https://bwfbadminton.com/player/77317/sayaka-sato,77317
14,THA,Nitchaon JINDAPOL,-1,171 - 116,"$105,205.50","48,414 / 16",https://bwfbadminton.com/player/57971/nitchaon-jindapol,57971
15,IND,Saina NEHWAL,0,363 - 153,"$719,522.50","46,900 / 12",https://bwfbadminton.com/player/52748/saina-nehwal,52748
16,HKG,CHEUNG Ngan Yi,0,95 - 84,"$42,320.00","45,762 / 16",https://bwfbadminton.com/player/87709/cheung-ngan-yi,87709
17,JPN,Minatsu MITANI,0,140 - 103,"$123,505.00","42,780 / 13",https://bwfbadminton.com/player/66644/minatsu-mitani,66644
18,JPN,Aya OHORI,0,114 - 54,"$51,050.00","42,510 / 11",https://bwfbadminton.com/player/95189/aya-ohori,95189
19,CHN,CHEN Xiao Xin,0,42 - 21,"$30,477.50","41,580 / 10",https://bwfbadminton.com/player/58637/chen-xiao-xin,58637
20,JPN,Ayumi MINE,+1,86 - 43,"$20,108.50","39,760 / 10",https://bwfbadminton.com/player/69082/ayumi-mine,69082
21,THA,Pornpawee CHOCHUWONG,-1,135 - 62,"$19,688.00","39,336 / 12",https://bwfbadminton.com/player/84062/pornpawee-chochuwong,84062
22,INA,Fitriani FITRIANI,0,74 - 45,"$20,068.50","38,087 / 14",https://bwfbadminton.com/player/96892/fitriani-fitriani,96892
23,ESP,Beatriz CORRALES,+1,231 - 114,"$35,736.00","36,808 / 17",https://bwfbadminton.com/player/95780/beatriz-corrales,95780
