rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,JPN / JPN,"Misaki MATSUTOMO, Ayaka TAKAHASHI",0,234 - 96,"$631,799.74","95,693 / 18","https://bwfbadminton.com/player/43851/misaki-matsutomo,https://bwfbadminton.com/player/16981/ayaka-takahashi","43851, 16981"
2,DEN / DEN,"Kamilla Rytter JUHL, Christinna PEDERSEN",+1,184 - 82,"$475,452.17","80,804 / 16","https://bwfbadminton.com/player/51436/kamilla-rytter-juhl,https://bwfbadminton.com/player/53759/christinna-pedersen","51436, 53759"
3,KOR / KOR,"JUNG Kyung Eun, SHIN Seungchan",-1,62 - 23,"$363,669.51","77,654 / 23","https://bwfbadminton.com/player/16745/jung-kyung-eun,https://bwfbadminton.com/player/87473/shin-seungchan","16745, 87473"
4,CHN / CHN,"LUO Ying, LUO Yu",+1,122 - 42,"$384,568.74","72,163 / 14","https://bwfbadminton.com/player/61851/luo-ying,https://bwfbadminton.com/player/20296/luo-yu","61851, 20296"
5,INA / INA,"Nitya Krishinda MAHESWARI, Greysia POLII",-1,133 - 62,"$402,045.87","71,839 / 13","https://bwfbadminton.com/player/54272/nitya-krishinda-maheswari,https://bwfbadminton.com/player/14729/greysia-polii","54272, 14729"
6,KOR / KOR,"CHANG Ye Na, LEE Sohee",0,65 - 24,"$286,356.83","69,463 / 23","https://bwfbadminton.com/player/54361/chang-ye-na,https://bwfbadminton.com/player/91292/lee-sohee","54361, 91292"
7,JPN / JPN,"Naoko FUKUMAN, Kurumi YONAO",0,87 - 51,"$84,583.72","62,554 / 21","https://bwfbadminton.com/player/56251/naoko-fukuman,https://bwfbadminton.com/player/56417/kurumi-yonao","56251, 56417"
8,CHN / CHN,"CHEN Qing Chen, JIA Yi Fan",+1,47 - 16,"$113,671.25","57,920 / 16","https://bwfbadminton.com/player/94125/chen-qing-chen,https://bwfbadminton.com/player/65144/jia-yi-fan","94125, 65144"
9,JPN / JPN,"Shizuka MATSUO, Mami NAITO",-1,173 - 98,"$202,003.32","56,176 / 19","https://bwfbadminton.com/player/55111/shizuka-matsuo,https://bwfbadminton.com/player/54524/mami-naito","55111, 54524"
10,THA / THA,"Puttita SUPAJIRAKUL, Sapsiree TAERATTANACHAI",0,53 - 55,"$76,288.19","53,415 / 23","https://bwfbadminton.com/player/68441/puttita-supajirakul,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","68441, 67158"
11,NED / NED,"Eefje MUSKENS, Selena PIEK",0,114 - 48,"$113,876.72","52,250 / 13","https://bwfbadminton.com/player/54453/eefje-muskens,https://bwfbadminton.com/player/67176/selena-piek","54453, 67176"
12,MAS / MAS,"Vivian HOO, WOON Khe Wei",0,106 - 91,"$101,002.64","49,527 / 20","https://bwfbadminton.com/player/54149/vivian-hoo,https://bwfbadminton.com/player/53154/woon-khe-wei","54149, 53154"
13,THA / THA,"Jongkolphan KITITHARAKUL, Rawinda PRAJONGJAI",0,51 - 43,"$46,199.10","48,671 / 22","https://bwfbadminton.com/player/24686/jongkolphan-kititharakul,https://bwfbadminton.com/player/84669/rawinda-prajongjai","24686, 84669"
14,BUL / BUL,"Gabriela STOEVA, Stefani STOEVA",0,160 - 64,"$79,351.00","47,417 / 25","https://bwfbadminton.com/player/43840/gabriela-stoeva,https://bwfbadminton.com/player/46169/stefani-stoeva","43840, 46169"
15,INA / INA,"Della Destiara HARIS, Rosyita Eka PUTRI SARI",0,28 - 14,"$54,906.73","45,640 / 18","https://bwfbadminton.com/player/66961/della-destiara-haris,https://bwfbadminton.com/player/80851/rosyita-eka-putri-sari","66961, 80851"
16,INA / INA,"Anggia Shitta AWANDA, Ni Ketut Mahadewi ISTARANI",+1,30 - 18,"$36,729.98","41,090 / 14","https://bwfbadminton.com/player/95620/anggia-shitta-awanda,https://bwfbadminton.com/player/84362/ni-ketut-mahadewi-istarani","95620, 84362"
