rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
1,0,1,KOR/KOR,LEE Yong Dae,YOO Yeon Seong,52774,52273,92480,18,https://bwf.tournamentsoftware.com/player-profile/8EBDD2CA-03F6-4431-A558-F4EAB6B8B2E1,https://bwf.tournamentsoftware.com/player-profile/ADFC60B0-2055-48B3-9309-44D3C819B3FF
2,0,2,INA/INA,Hendra SETIAWAN,Mohammad AHSAN,51074,52749,78140,19,https://bwf.tournamentsoftware.com/player-profile/6DF78DE2-EE8D-4C31-A7FF-66BE2FCEE6A7,https://bwf.tournamentsoftware.com/player-profile/8EDADE5C-6AB4-4BFD-88E3-E27D9757754E
3,1,4,CHN/CHN,FU Haifeng,ZHANG Nan,51729,35357,72747,14,https://bwf.tournamentsoftware.com/player-profile/37FEDFA4-FD16-4BC4-A466-0B73401C11A4,https://bwf.tournamentsoftware.com/player-profile/61649DF4-7F24-42D0-854D-1332B21E4A9D
4,-1,3,KOR/KOR,KIM Gi Jung,KIM Sa Rang,39276,84007,72337,25,https://bwf.tournamentsoftware.com/player-profile/549B9AF3-7F23-4857-B9E4-932E4154A536,https://bwf.tournamentsoftware.com/player-profile/A620CE8B-3C6F-4661-80B7-D420A98C1639
5,0,5,CHN/CHN,CHAI Biao,HONG Wei,96784,69809,70915,19,https://bwf.tournamentsoftware.com/player-profile/500CDBCA-03DC-4A89-BB3A-AAD1D62C966B,https://bwf.tournamentsoftware.com/player-profile/48A5888C-B595-45A6-BA12-5B0F54A6BD58
6,0,6,KOR/KOR,KO Sung Hyun,SHIN Baekcheol,88094,54785,68870,22,https://bwf.tournamentsoftware.com/player-profile/21922655-3624-4FDE-B43D-12DF437B0B71,https://bwf.tournamentsoftware.com/player-profile/0E1DAEAC-2332-4C95-815D-2263209B124F
7,0,7,JPN/JPN,Hiroyuki ENDO,Kenichi HAYAKAWA,54026,54527,66327,18,https://bwf.tournamentsoftware.com/player-profile/11A1D4BB-444C-4BB2-9697-8F916B9C2443,https://bwf.tournamentsoftware.com/player-profile/F49301CC-8C4A-45CB-B29F-3D89912857F5
8,0,8,DEN/DEN,Mathias BOE,Carsten MOGENSEN,50292,51304,65604,11,https://bwf.tournamentsoftware.com/player-profile/6570E6B3-B94F-4486-B6ED-B604545DB819,https://bwf.tournamentsoftware.com/player-profile/51A8B183-9A21-4CED-84A9-85FDEBA49D95
9,1,10,DEN/DEN,Mads CONRAD-PETERSEN,Mads Pieler KOLDING,42722,52958,57563,18,https://bwf.tournamentsoftware.com/player-profile/70AB1D18-9DE4-4D79-A099-B0DB9A127C09,https://bwf.tournamentsoftware.com/player-profile/7D4317F4-B677-4E84-89EC-F221708A237A
10,1,11,RUS/RUS,Vladimir IVANOV,Ivan SOZONOV,53924,67068,57023,20,https://bwf.tournamentsoftware.com/player-profile/01F92222-86C1-4C20-AA4F-BEF46B1B5E37,https://bwf.tournamentsoftware.com/player-profile/934DC735-EC0E-4B83-820D-CA784F3B931D
11,2,13,CHN/CHN,LI Jun Hui,LIU Yu Chen,79059,93367,56892,18,https://bwf.tournamentsoftware.com/player-profile/1F898834-DB71-4138-9CE7-CC4C74CE3F53,https://bwf.tournamentsoftware.com/player-profile/1F2680FC-C5A6-498D-84CC-B806CFA4F979
12,-3,9,INA/INA,Angga PRATAMA,Ricky KARANDASUWARDI,61855,66493,56504,19,https://bwf.tournamentsoftware.com/player-profile/DCCD832A-3279-4E77-8CA5-6D354FE1143E,https://bwf.tournamentsoftware.com/player-profile/5E4B1452-A70F-486D-A26F-CF4415DA13B0
13,-1,12,MAS/MAS,GOH V Shem,TAN Wee Kiong,54805,52071,55098,24,https://bwf.tournamentsoftware.com/player-profile/17EE3062-7C2F-422C-AEEF-2DF357D585C3,https://bwf.tournamentsoftware.com/player-profile/D5108C6D-9FC3-42ED-A458-C503790E140B
14,0,14,INA/INA,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,26394,80057,54520,19,https://bwf.tournamentsoftware.com/player-profile/C42F248B-23E4-405C-9FA2-53162D3543BF,https://bwf.tournamentsoftware.com/player-profile/FACEF270-27C0-4016-91C9-3E0D4A1ACE9F
15,0,15,CHN/CHN,LIU Xiaolong,QIU Zihan,11777,47277,52715,17,https://bwf.tournamentsoftware.com/player-profile/5C75DAB3-A415-4447-820A-F3AE73FC6C0A,https://bwf.tournamentsoftware.com/player-profile/755490C3-9137-40DB-8B49-8D56822C99B1
16,0,16,MAS/MAS,Kien Keat KOO,TAN Boon Heong,14288,52703,51070,23,https://bwf.tournamentsoftware.com/player-profile/35B3A06C-F48F-4B28-8C72-E9A461F52EFF,https://bwf.tournamentsoftware.com/player-profile/68C7E441-2474-4690-BB06-4FEA0A8B91DC
17,2,19,JPN/JPN,Takeshi KAMURA,Keigo SONODA,70969,90623,49698,22,https://bwf.tournamentsoftware.com/player-profile/1A0C8AAC-EB40-4FFA-A7F1-A80D302AF278,https://bwf.tournamentsoftware.com/player-profile/94697FE7-097F-4982-9316-A8A642E17CD5
