rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN / CHN,"LI Jun Hui, LIU Yu Chen",0,84 - 35,"$294,280.00","81,121 / 17","https://bwfbadminton.com/player/79059/li-jun-hui,https://bwfbadminton.com/player/93367/liu-yu-chen","79059, 93367"
2,DEN / DEN,"Mathias BOE, Carsten MOGENSEN",0,348 - 112,"$931,565.86","80,064 / 14","https://bwfbadminton.com/player/50292/mathias-boe,https://bwfbadminton.com/player/51304/carsten-mogensen","50292, 51304"
3,INA / INA,"Marcus Fernaldi GIDEON, Kevin Sanjaya SUKAMULJO",0,54 - 24,"$375,076.09","75,217 / 11","https://bwfbadminton.com/player/26394/marcus-fernaldi-gideon,https://bwfbadminton.com/player/80057/kevin-sanjaya-sukamuljo","26394, 80057"
4,JPN / JPN,"Takeshi KAMURA, Keigo SONODA",0,112 - 69,"$261,415.23","74,175 / 17","https://bwfbadminton.com/player/70969/takeshi-kamura,https://bwfbadminton.com/player/90623/keigo-sonoda","70969, 90623"
5,MAS / MAS,"GOH V Shem, TAN Wee Kiong",0,88 - 37,"$341,219.31","70,913 / 15","https://bwfbadminton.com/player/54805/goh-v-shem,https://bwfbadminton.com/player/52071/tan-wee-kiong","54805, 52071"
6,CHN / CHN,"CHAI Biao, HONG Wei",0,95 - 41,"$502,657.49","66,750 / 12","https://bwfbadminton.com/player/96784/chai-biao,https://bwfbadminton.com/player/69809/hong-wei","96784, 69809"
7,DEN / DEN,"Mads CONRAD-PETERSEN, Mads Pieler KOLDING",+1,132 - 57,"$206,114.89","56,241 / 15","https://bwfbadminton.com/player/42722/mads-conrad-petersen,https://bwfbadminton.com/player/52958/mads-pieler-kolding","42722, 52958"
8,CHN / CHN,"LIU Cheng, ZHANG Nan",+1,0 - 0,"$270,066.23","56,206 / 12","https://bwfbadminton.com/player/95396/liu-cheng,https://bwfbadminton.com/player/35357/zhang-nan","95396, 35357"
9,TPE / TPE,"LEE Jhe-Huei, LEE Yang",-2,28 - 20,"$63,008.73","55,978 / 21","https://bwfbadminton.com/player/99102/lee-jhe-huei,https://bwfbadminton.com/player/69448/lee-yang","99102, 69448"
10,INA / INA,"Angga PRATAMA, Ricky KARANDASUWARDI",0,65 - 28,"$206,359.33","55,162 / 14","https://bwfbadminton.com/player/61855/angga-pratama,https://bwfbadminton.com/player/66493/ricky-karandasuwardi","61855, 66493"
11,RUS / RUS,"Vladimir IVANOV, Ivan SOZONOV",0,204 - 92,"$185,057.22","51,850 / 14","https://bwfbadminton.com/player/53924/vladimir-ivanov,https://bwfbadminton.com/player/67068/ivan-sozonov","53924, 67068"
