rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
1,0,1,INA/INA,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,26394,80057,104483,16,https://bwf.tournamentsoftware.com/player-profile/C42F248B-23E4-405C-9FA2-53162D3543BF,https://bwf.tournamentsoftware.com/player-profile/FACEF270-27C0-4016-91C9-3E0D4A1ACE9F
2,0,2,CHN/CHN,LI Jun Hui,LIU Yu Chen,79059,93367,84395,15,https://bwf.tournamentsoftware.com/player-profile/1F898834-DB71-4138-9CE7-CC4C74CE3F53,https://bwf.tournamentsoftware.com/player-profile/1F2680FC-C5A6-498D-84CC-B806CFA4F979
3,0,3,JPN/JPN,Takeshi KAMURA,Keigo SONODA,70969,90623,78025,19,https://bwf.tournamentsoftware.com/player-profile/1A0C8AAC-EB40-4FFA-A7F1-A80D302AF278,https://bwf.tournamentsoftware.com/player-profile/94697FE7-097F-4982-9316-A8A642E17CD5
4,0,4,TPE/TPE,CHEN Hung Ling,WANG Chi-Lin,53613,96514,70401,21,https://bwf.tournamentsoftware.com/player-profile/9621265B-FAA8-4DDA-9744-0FF29AB75436,https://bwf.tournamentsoftware.com/player-profile/56CD6D77-F9AF-420C-98F1-463099815B72
5,0,5,JPN/JPN,Hiroyuki ENDO,Yuta WATANABE,54026,58240,70070,20,https://bwf.tournamentsoftware.com/player-profile/11A1D4BB-444C-4BB2-9697-8F916B9C2443,https://bwf.tournamentsoftware.com/player-profile/A91C07A5-260D-49D1-B689-19ABBF69B703
6,0,6,DEN/DEN,Kim ASTRUP,Anders Skaarup RASMUSSEN,92980,44414,67080,19,https://bwf.tournamentsoftware.com/player-profile/C4BD6962-278F-4174-A423-8B4E88BB7943,https://bwf.tournamentsoftware.com/player-profile/D5B8BBD3-5350-4C7C-8F72-81DB2A0A7291
7,1,8,INA/INA,Hendra SETIAWAN,Mohammad AHSAN,51074,52749,64710,17,https://bwf.tournamentsoftware.com/player-profile/6DF78DE2-EE8D-4C31-A7FF-66BE2FCEE6A7,https://bwf.tournamentsoftware.com/player-profile/8EDADE5C-6AB4-4BFD-88E3-E27D9757754E
8,-1,7,CHN/CHN,HAN Cheng Kai,ZHOU Hao Dong,66491,61160,63960,19,https://bwf.tournamentsoftware.com/player-profile/FBB85AC2-16DE-4AB0-8657-2B5A28317C8B,https://bwf.tournamentsoftware.com/player-profile/2F7879BF-6AEC-441E-A81A-20A6030BACA0
9,0,9,INA/INA,Fajar ALFIAN,Muhammad Rian ARDIANTO,88876,91130,62186,16,https://bwf.tournamentsoftware.com/player-profile/4DC4B6C0-E9DC-41E9-845C-269C1C481FEE,https://bwf.tournamentsoftware.com/player-profile/05F0D1E2-A0AF-43D1-AB29-15FE6B97B3FA
10,0,10,JPN/JPN,Takuto INOUE,Yuki KANEKO,59419,95761,61572,18,https://bwf.tournamentsoftware.com/player-profile/5860C2A9-D0B5-40DD-A1B4-C091E33A7018,https://bwf.tournamentsoftware.com/player-profile/A0B29E23-86CB-45FF-90AA-B5860141315F
11,1,12,TPE/TPE,LIAO Min Chun,SU Ching Heng,53230,88829,57990,20,https://bwf.tournamentsoftware.com/player-profile/A4B63FF9-F070-45AB-86F6-F69B892DA2F4,https://bwf.tournamentsoftware.com/player-profile/43B57BDB-F693-452F-A1BB-B35A9F273C9D
12,1,13,CHN/CHN,LIU Cheng,ZHANG Nan,95396,35357,56990,13,https://bwf.tournamentsoftware.com/player-profile/117603D2-F411-43F5-A285-B70A46606168,https://bwf.tournamentsoftware.com/player-profile/61649DF4-7F24-42D0-854D-1332B21E4A9D
13,1,14,MAS/MAS,GOH V Shem,TAN Wee Kiong,54805,52071,56954,17,https://bwf.tournamentsoftware.com/player-profile/17EE3062-7C2F-422C-AEEF-2DF357D585C3,https://bwf.tournamentsoftware.com/player-profile/D5108C6D-9FC3-42ED-A458-C503790E140B
14,-3,11,CHN/CHN,HE Ji Ting,TAN Qiang,59673,58678,56882,16,https://bwf.tournamentsoftware.com/player-profile/43A9897D-EDE5-4AFB-A9E4-7822C7DE272F,https://bwf.tournamentsoftware.com/player-profile/2BE719E8-AF44-4F2C-BAE5-B3A01DD66EE6
15,0,15,TPE/TPE,LEE Jhe-Huei,LEE Yang,99102,69448,50638,16,https://bwf.tournamentsoftware.com/player-profile/CD5C5213-6E14-4380-BDF9-863572BD9FFF,https://bwf.tournamentsoftware.com/player-profile/45F7D2E9-B206-4212-A310-8C42F608C890
16,0,16,DEN/DEN,Mads CONRAD-PETERSEN,Mads Pieler KOLDING,42722,52958,49923,14,https://bwf.tournamentsoftware.com/player-profile/70AB1D18-9DE4-4D79-A099-B0DB9A127C09,https://bwf.tournamentsoftware.com/player-profile/7D4317F4-B677-4E84-89EC-F221708A237A
17,0,17,ENG/ENG,Marcus ELLIS,Chris LANGRIDGE,71349,51624,49592,16,https://bwf.tournamentsoftware.com/player-profile/756004F0-C229-44DC-919A-40B08672EFD0,https://bwf.tournamentsoftware.com/player-profile/21E8F31D-D422-41E7-B21B-49707DD2CA45
18,0,18,INA/INA,Berry ANGRIAWAN,Hardianto HARDIANTO,23374,69003,49240,15,https://bwf.tournamentsoftware.com/player-profile/69C52627-D04B-4DC9-AE95-B0D190F4D708,https://bwf.tournamentsoftware.com/player-profile/457FD1A8-5F55-4158-BD1C-CCAF8C8667BE
19,1,20,MAS/MAS,Aaron CHIA,SOH Wooi Yik,56203,99389,48570,18,https://bwf.tournamentsoftware.com/player-profile/4AA2A824-4927-418E-8670-4414838C8784,https://bwf.tournamentsoftware.com/player-profile/9B88428D-188B-4A36-9129-EF58585DAB37
20,-1,19,DEN/DEN,Mathias BOE,Carsten MOGENSEN,50292,51304,47860,13,https://bwf.tournamentsoftware.com/player-profile/6570E6B3-B94F-4486-B6ED-B604545DB819,https://bwf.tournamentsoftware.com/player-profile/51A8B183-9A21-4CED-84A9-85FDEBA49D95
21,0,21,IND/IND,Satwiksairaj RANKIREDDY,Chirag SHETTY,72435,70500,47086,15,https://bwf.tournamentsoftware.com/player-profile/1C1A6FA0-376B-45EE-81C8-9CCCA9276C3F,https://bwf.tournamentsoftware.com/player-profile/987D11ED-7C07-49EF-88CA-A700436759B7
22,0,22,MAS/MAS,ONG Yew Sin,TEO Ee Yi,84064,99066,46904,17,https://bwf.tournamentsoftware.com/player-profile/427CBBCD-1482-4114-A89D-7DCADFB0CF74,https://bwf.tournamentsoftware.com/player-profile/9EF4470F-48C6-49D6-8F59-1CB59944B416
23,0,23,RUS/RUS,Vladimir IVANOV,Ivan SOZONOV,53924,67068,45630,18,https://bwf.tournamentsoftware.com/player-profile/01F92222-86C1-4C20-AA4F-BEF46B1B5E37,https://bwf.tournamentsoftware.com/player-profile/934DC735-EC0E-4B83-820D-CA784F3B931D
24,0,24,CHN/CHN,OU Xuan Yi,REN Xiang Yu,58241,84812,44840,14,https://bwf.tournamentsoftware.com/player-profile/5D1C1D34-C804-43FE-BB8C-D4C04ECFEB5E,https://bwf.tournamentsoftware.com/player-profile/DC1AB5C1-DE98-43AD-B169-07D47E7A0439
25,1,26,JPN/JPN,Takuro HOKI,Yugo KOBAYASHI,81657,67903,43826,15,https://bwf.tournamentsoftware.com/player-profile/667BF8D6-7C34-4D24-9A3E-390616941311,https://bwf.tournamentsoftware.com/player-profile/D8313CFB-B428-4E36-B269-5DD969EA936A
26,-1,25,TPE/TPE,LU Ching Yao,YANG Po Han,56746,59709,43340,21,https://bwf.tournamentsoftware.com/player-profile/CF31F5E7-2374-4F07-910A-2207384EF10C,https://bwf.tournamentsoftware.com/player-profile/3A72C4CB-2969-4AFA-96EA-A32D2CDE92E0
27,0,27,IND/IND,ATTRI Manu,REDDY B. Sumeeth,59803,24172,42320,18,https://bwf.tournamentsoftware.com/player-profile/3B0C28FD-0B86-4827-A269-910BAAE7244C,https://bwf.tournamentsoftware.com/player-profile/EA6CD83C-C2E8-45AE-84B0-0C9D195EA879
28,0,28,INA/INA,Wahyu Nayaka ARYA PANGKARYANIRA,Ade Yusuf SANTOSO,59822,74945,41530,15,https://bwf.tournamentsoftware.com/player-profile/1075D500-8AAF-42C2-A210-2F113AEEB15E,https://bwf.tournamentsoftware.com/player-profile/12E6EB42-FC01-4896-AC2C-594A068C8D1E
29,0,29,GER/GER,Mark LAMSFUSS,Marvin SEIDEL,68045,64909,40390,21,https://bwf.tournamentsoftware.com/player-profile/7F548F9D-D362-4CBF-B10A-EEFC9B9DC40F,https://bwf.tournamentsoftware.com/player-profile/B71C5AED-D219-4EC9-AA20-4CFBDDA5C1C6
30,0,30,THA/THA,Bodin ISARA,Maneepong JONGJIT,75983,67172,39790,11,https://bwf.tournamentsoftware.com/player-profile/9AA24983-8833-41FD-8DA9-8187E1161322,https://bwf.tournamentsoftware.com/player-profile/D3B03D47-8BCF-472E-ACAE-FC6C9C123506
31,1,32,NED/NED,Jelle MAAS,Robin TABELING,93455,66357,38730,17,https://bwf.tournamentsoftware.com/player-profile/2DB04B2E-405B-4C47-B120-AB7423FBBE0F,https://bwf.tournamentsoftware.com/player-profile/8C466B17-0403-42B1-AE13-E91618801BD5
