rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
1,0,1,MAS/MAS,Kien Keat KOO,TAN Boon Heong,14288,52703,74779,14,https://bwf.tournamentsoftware.com/player-profile/35B3A06C-F48F-4B28-8C72-E9A461F52EFF,https://bwf.tournamentsoftware.com/player-profile/68C7E441-2474-4690-BB06-4FEA0A8B91DC
2,0,2,KOR/KOR,CHUNG Jae Sung,LEE Yong Dae,53426,52774,69077,9,https://bwf.tournamentsoftware.com/player-profile/81C0A98A-EB0C-473C-AD58-0889C6CF2BAA,https://bwf.tournamentsoftware.com/player-profile/8EBDD2CA-03F6-4431-A558-F4EAB6B8B2E1
3,0,3,INA/INA,Markis KIDO,Hendra SETIAWAN,50420,51074,68889,11,https://bwf.tournamentsoftware.com/player-profile/346FF00B-701D-4056-9855-A2635FD815F4,https://bwf.tournamentsoftware.com/player-profile/6DF78DE2-EE8D-4C31-A7FF-66BE2FCEE6A7
4,0,4,DEN/DEN,Mathias BOE,Carsten MOGENSEN,50292,51304,65393,11,https://bwf.tournamentsoftware.com/player-profile/6570E6B3-B94F-4486-B6ED-B604545DB819,https://bwf.tournamentsoftware.com/player-profile/51A8B183-9A21-4CED-84A9-85FDEBA49D95
5,1,6,INA/INA,Alvent Yulianto CHANDRA,Hendra Aprida GUNAWAN,11354,11401,55230,16,https://bwf.tournamentsoftware.com/player-profile/168E9F72-8DDC-45BD-91D5-8B72239E14E5,https://bwf.tournamentsoftware.com/player-profile/746E3179-22D2-48F8-82A4-BCA9E472A954
6,2,8,DEN/DEN,Lars PAASKE,Jonas RASMUSSEN,7575,9578,51290,11,https://bwf.tournamentsoftware.com/player-profile/7F2B8441-9CF2-47D3-880F-1BB9E815F72D,https://bwf.tournamentsoftware.com/player-profile/104C2634-1AE2-483C-9F32-5876495EC64F
7,-2,5,CHN/CHN,CAI Yun,FU Haifeng,50251,51729,51264,6,https://bwf.tournamentsoftware.com/player-profile/94DC4790-1083-4750-9E56-1EA344FE501A,https://bwf.tournamentsoftware.com/player-profile/37FEDFA4-FD16-4BC4-A466-0B73401C11A4
8,-1,7,MAS/MAS,Tan Fook CHOONG,Wan Wah LEE,7759,7760,48570,13,https://bwf.tournamentsoftware.com/player-profile/9F9B7FFD-16A8-468E-B5AA-C9F7C437FF78,https://bwf.tournamentsoftware.com/player-profile/F1472F2B-1985-4C95-AFA9-0F7F4916458B
9,0,9,CHN/CHN,GUO Zhendong,XU Chen,14607,51620,48100,11,https://bwf.tournamentsoftware.com/player-profile/1FF2147F-C061-4B59-8EC6-65C92C791A72,https://bwf.tournamentsoftware.com/player-profile/6D0E15C6-3488-48CD-B04A-5FFBCB2EF912
10,0,10,ENG/ENG,Anthony CLARK,Nathan ROBERTSON,9819,7572,44899,10,https://bwf.tournamentsoftware.com/player-profile/A42492B5-4119-40D2-B59C-6198DC5EFBFB,https://bwf.tournamentsoftware.com/player-profile/20B5BC86-2D31-406F-8027-C0B6FF343FF4
